               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.053544,            0.013929,            0.028235,             0.27063,                 0.9,             0.36426,            0.074754,            0.034773,           0.0073843,            0.019493,           0.0024575,           0.0024575,            0.076158
                  88,            0.047018,            0.014091,            0.028092,              0.6009,                0.85,             0.69917,             0.31231,            0.029479,           0.0074267,            0.019513,           0.0024816,           0.0024816,            0.075882
                  89,            0.047993,            0.014985,            0.028466,             0.53151,                 0.8,             0.64186,             0.35599,            0.027342,           0.0072746,            0.019464,           0.0025056,           0.0025056,            0.075606
                  90,             0.04194,            0.014149,            0.028883,             0.38995,             0.89838,             0.57647,             0.33088,            0.026259,           0.0073518,             0.01908,           0.0025295,           0.0025295,            0.075329
                  91,            0.050974,            0.013592,             0.02688,             0.32523,               0.825,              0.6022,             0.17327,            0.042863,           0.0068852,            0.018794,           0.0025532,           0.0025532,            0.075053
                  92,            0.052783,            0.012262,             0.02759,             0.46892,               0.975,             0.71627,             0.48209,            0.030916,           0.0069204,            0.018621,           0.0025767,           0.0025767,            0.074777
                  93,            0.051882,             0.01335,            0.026916,             0.50313,               0.575,             0.61863,             0.13958,            0.041307,           0.0070549,            0.018499,           0.0026002,           0.0026002,              0.0745
                  94,            0.049665,             0.01238,            0.027804,             0.54338,             0.84941,             0.74385,             0.45253,            0.029604,           0.0071205,            0.018454,           0.0026235,           0.0026235,            0.074224
                  95,             0.04629,            0.014647,            0.027016,             0.47317,             0.74351,              0.5216,             0.13815,            0.034079,           0.0073193,             0.01845,           0.0026467,           0.0026467,            0.073947
                  96,            0.049136,            0.013799,            0.028899,             0.50655,               0.825,             0.62282,              0.3208,            0.025084,           0.0073812,            0.018445,           0.0026697,           0.0026697,             0.07367
                  97,            0.050523,             0.01463,            0.027951,             0.43913,             0.84841,              0.6104,             0.26019,            0.040513,           0.0069616,            0.018334,           0.0026926,           0.0026926,            0.073393
                  98,            0.047767,            0.014852,             0.02617,              0.5168,                 0.8,             0.70807,              0.4373,            0.028117,           0.0070801,            0.018085,           0.0027154,           0.0027154,            0.073115
                  99,            0.047753,            0.012038,            0.026407,             0.60931,                0.85,             0.73619,             0.21219,            0.026901,            0.007119,            0.018279,            0.002738,            0.002738,            0.072838
                 100,             0.04363,            0.014123,            0.027843,             0.54043,                 0.9,             0.67727,              0.3974,            0.027079,           0.0070958,            0.018005,           0.0027605,           0.0027605,             0.07256
                 101,            0.051121,            0.013042,            0.025146,             0.59068,             0.87419,             0.70162,             0.16156,            0.035556,           0.0069269,            0.018252,           0.0027828,           0.0027828,            0.072283
                 102,            0.055296,            0.012714,            0.026171,               0.966,             0.74307,             0.91055,             0.51119,            0.027228,           0.0070418,             0.01789,            0.002805,            0.002805,            0.072005
                 103,            0.048125,            0.014418,            0.023491,             0.77057,               0.725,             0.74256,             0.19681,            0.032094,           0.0070177,            0.017521,            0.002827,            0.002827,            0.071727
                 104,            0.048295,            0.013439,            0.025991,              0.9825,                0.85,             0.95294,             0.65536,            0.024307,           0.0069977,            0.016657,           0.0028489,           0.0028489,            0.071449
                 105,             0.04442,            0.014267,            0.025514,              0.7496,             0.74943,             0.81117,             0.23919,            0.038109,           0.0067434,            0.016556,           0.0028707,           0.0028707,            0.071171
                 106,            0.050477,             0.01375,            0.023275,             0.71487,               0.875,              0.8882,              0.5851,            0.027197,           0.0070001,             0.01595,           0.0028923,           0.0028923,            0.070892
                 107,            0.045326,            0.013559,            0.023133,             0.71151,               0.775,             0.86635,              0.2884,            0.035264,           0.0067382,            0.015753,           0.0029137,           0.0029137,            0.070614
